movie_title,director_name,imdb_score,duration,genres
Terminator Salvation ,McG,6.6,118.0,Action|Adventure|Sci-Fi
Furious 7 ,James Wan,7.2,140.0,Action|Crime|Thriller
World War Z ,Marc Forster,7.0,123.0,Action|Adventure|Horror|Sci-Fi|Thriller
X-Men: Days of Future Past ,Bryan Singer,8.0,149.0,Action|Adventure|Fantasy|Sci-Fi|Thriller
Star Trek Into Darkness ,J.J. Abrams,7.8,132.0,Action|Adventure|Sci-Fi
Jack the Giant Slayer ,Bryan Singer,6.3,114.0,Adventure|Fantasy
The Great Gatsby ,Baz Luhrmann,7.3,143.0,Drama|Romance
Prince of Persia: The Sands of Time ,Mike Newell,6.6,116.0,Action|Adventure|Fantasy|Romance
Pacific Rim ,Guillermo del Toro,7.0,131.0,Action|Adventure|Sci-Fi
Transformers: Dark of the Moon ,Michael Bay,6.3,154.0,Action|Adventure|Sci-Fi
Indiana Jones and the Kingdom of the Crystal Skull ,Steven Spielberg,6.2,122.0,Action|Adventure|Fantasy
The Good Dinosaur ,Peter Sohn,6.8,93.0,Adventure|Animation|Comedy|Family|Fantasy
Brave ,Mark Andrews,7.2,93.0,Adventure|Animation|Comedy|Family|Fantasy
Star Trek Beyond ,Justin Lin,7.5,122.0,Action|Adventure|Sci-Fi|Thriller
WALL·E ,Andrew Stanton,8.4,98.0,Adventure|Animation|Family|Sci-Fi
Rush Hour 3 ,Brett Ratner,6.2,91.0,Action|Comedy|Crime|Thriller
2012 ,Roland Emmerich,5.8,158.0,Action|Adventure|Sci-Fi
A Christmas Carol ,Robert Zemeckis,6.8,96.0,Animation|Drama|Family|Fantasy
Jupiter Ascending ,Lana Wachowski,5.4,127.0,Action|Adventure|Sci-Fi
The Legend of Tarzan ,David Yates,6.6,110.0,Action|Adventure|Drama|Romance
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Andrew Adamson,6.9,150.0,Adventure|Family|Fantasy
X-Men: Apocalypse ,Bryan Singer,7.3,144.0,Action|Adventure|Sci-Fi
The Dark Knight ,Christopher Nolan,9.0,152.0,Action|Crime|Drama|Thriller
Up ,Pete Docter,8.3,96.0,Adventure|Animation|Comedy|Family
Monsters vs. Aliens ,Rob Letterman,6.5,94.0,Action|Adventure|Animation|Comedy|Family|Sci-Fi
Iron Man ,Jon Favreau,7.9,126.0,Action|Adventure|Sci-Fi
Hugo ,Martin Scorsese,7.5,126.0,Adventure|Drama|Family|Mystery
Wild Wild West ,Barry Sonnenfeld,4.8,106.0,Action|Comedy|Sci-Fi|Western
The Mummy: Tomb of the Dragon Emperor ,Rob Cohen,5.2,112.0,Action|Adventure|Fantasy|Horror|Thriller
Suicide Squad ,David Ayer,6.9,123.0,Action|Adventure|Comedy|Sci-Fi
Evan Almighty ,Tom Shadyac,5.4,96.0,Comedy|Family|Fantasy
Edge of Tomorrow ,Doug Liman,7.9,113.0,Action|Adventure|Sci-Fi
Waterworld ,Kevin Reynolds,6.1,176.0,Action|Adventure|Sci-Fi|Thriller
G.I. Joe: The Rise of Cobra ,Stephen Sommers,5.8,118.0,Action|Adventure|Sci-Fi|Thriller
Inside Out ,Pete Docter,8.3,95.0,Adventure|Animation|Comedy|Drama|Family|Fantasy
The Jungle Book ,Jon Favreau,7.8,106.0,Adventure|Drama|Family|Fantasy
Iron Man 2 ,Jon Favreau,7.0,124.0,Action|Adventure|Sci-Fi
Snow White and the Huntsman ,Rupert Sanders,6.1,132.0,Action|Adventure|Drama|Fantasy
Maleficent ,Robert Stromberg,7.0,97.0,Action|Adventure|Family|Fantasy|Romance
Dawn of the Planet of the Apes ,Matt Reeves,7.6,130.0,Action|Adventure|Drama|Sci-Fi
The Lovers ,Roland Joffé,4.5,109.0,Action|Adventure|Romance|Sci-Fi
47 Ronin ,Carl Rinsch,6.3,128.0,Action|Adventure|Drama|Fantasy
Captain America: The Winter Soldier ,Anthony Russo,7.8,136.0,Action|Adventure|Sci-Fi
Shrek Forever After ,Mike Mitchell,6.4,93.0,Adventure|Animation|Comedy|Family|Fantasy
Tomorrowland ,Brad Bird,6.5,130.0,Action|Adventure|Family|Mystery|Sci-Fi
Big Hero 6 ,Don Hall,7.9,102.0,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi
Wreck-It Ralph ,Rich Moore,7.8,101.0,Adventure|Animation|Comedy|Family|Sci-Fi
The Polar Express ,Robert Zemeckis,6.6,100.0,Adventure|Animation|Family|Fantasy
Independence Day: Resurgence ,Roland Emmerich,5.5,120.0,Action|Adventure|Sci-Fi
How to Train Your Dragon ,Dean DeBlois,8.2,98.0,Adventure|Animation|Family|Fantasy
Terminator 3: Rise of the Machines ,Jonathan Mostow,6.4,109.0,Action|Sci-Fi
Guardians of the Galaxy ,James Gunn,8.1,121.0,Action|Adventure|Sci-Fi
Interstellar ,Christopher Nolan,8.6,169.0,Adventure|Drama|Sci-Fi
Inception ,Christopher Nolan,8.8,148.0,Action|Adventure|Sci-Fi|Thriller
Godzilla Resurgence ,Hideaki Anno,8.2,120.0,Action|Adventure|Drama|Horror|Sci-Fi
The Hobbit: An Unexpected Journey ,Peter Jackson,7.9,182.0,Adventure|Fantasy
The Fast and the Furious ,Rob Cohen,6.7,106.0,Action|Crime|Thriller
The Curious Case of Benjamin Button ,David Fincher,7.8,166.0,Drama|Fantasy|Romance
X-Men: First Class ,Matthew Vaughn,7.8,132.0,Action|Adventure|Sci-Fi
The Hunger Games: Mockingjay - Part 2 ,Francis Lawrence,6.6,137.0,Adventure|Sci-Fi
The Sorcerer's Apprentice ,Jon Turteltaub,6.1,109.0,Action|Adventure|Family|Fantasy
Poseidon ,Wolfgang Petersen,5.6,98.0,Action|Adventure|Drama|Thriller
Alice Through the Looking Glass ,James Bobin,6.4,113.0,Adventure|Family|Fantasy
Shrek the Third ,Chris Miller,6.1,93.0,Adventure|Animation|Comedy|Family|Fantasy
Warcraft ,Duncan Jones,7.3,123.0,Action|Adventure|Fantasy
Terminator Genisys ,Alan Taylor,6.6,126.0,Action|Adventure|Sci-Fi
The Chronicles of Narnia: The Voyage of the Dawn Treader ,Michael Apted,6.3,113.0,Adventure|Family|Fantasy
Pearl Harbor ,Michael Bay,6.1,184.0,Action|Drama|History|Romance|War
Transformers ,Michael Bay,7.1,144.0,Action|Adventure|Sci-Fi
Alexander ,Oliver Stone,5.5,206.0,Action|Adventure|Biography|Drama|History|Romance|War
Harry Potter and the Order of the Phoenix ,David Yates,7.5,138.0,Adventure|Family|Fantasy|Mystery
Harry Potter and the Goblet of Fire ,Mike Newell,7.6,157.0,Adventure|Family|Fantasy|Mystery
Hancock ,Peter Berg,6.4,102.0,Action|Drama
I Am Legend ,Francis Lawrence,7.2,104.0,Drama|Horror|Sci-Fi
Charlie and the Chocolate Factory ,Tim Burton,6.7,115.0,Adventure|Comedy|Family|Fantasy
Ratatouille ,Brad Bird,8.0,111.0,Animation|Comedy|Family|Fantasy
Batman Begins ,Christopher Nolan,8.3,128.0,Action|Adventure
Madagascar: Escape 2 Africa ,Eric Darnell,6.7,89.0,Action|Adventure|Animation|Comedy|Family
Night at the Museum: Battle of the Smithsonian ,Shawn Levy,5.9,105.0,Adventure|Comedy|Family|Fantasy
X-Men Origins: Wolverine ,Gavin Hood,6.7,119.0,Action|Adventure|Fantasy|Sci-Fi|Thriller
The Matrix Revolutions ,Lana Wachowski,6.7,129.0,Action|Sci-Fi
Frozen ,Chris Buck,7.6,102.0,Adventure|Animation|Comedy|Family|Fantasy|Musical
The Matrix Reloaded ,Lana Wachowski,7.2,138.0,Action|Sci-Fi
Thor: The Dark World ,Alan Taylor,7.1,112.0,Action|Adventure|Fantasy
Mad Max: Fury Road ,George Miller,8.1,120.0,Action|Adventure|Sci-Fi|Thriller
Angels & Demons ,Ron Howard,6.7,146.0,Mystery|Thriller
Thor ,Kenneth Branagh,7.0,115.0,Action|Adventure|Fantasy
Bolt ,Byron Howard,6.9,96.0,Adventure|Animation|Comedy|Drama|Family
G-Force ,Hoyt Yeatman,5.1,88.0,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi
Wrath of the Titans ,Jonathan Liebesman,5.8,99.0,Action|Adventure|Fantasy
Dark Shadows ,Tim Burton,6.2,113.0,Comedy|Fantasy|Horror
Mission: Impossible - Rogue Nation ,Christopher McQuarrie,7.4,131.0,Action|Adventure|Thriller
The Wolfman ,Joe Johnston,5.8,119.0,Drama|Fantasy|Horror|Thriller
The Legend of Tarzan ,David Yates,6.6,110.0,Action|Adventure|Drama|Romance
Bee Movie ,Steve Hickner,6.2,91.0,Adventure|Animation|Comedy|Family
Kung Fu Panda 2 ,Jennifer Yuh Nelson,7.3,90.0,Action|Adventure|Animation|Comedy|Family
The Last Airbender ,M. Night Shyamalan,4.2,103.0,Action|Adventure|Family|Fantasy
Mission: Impossible III ,J.J. Abrams,6.9,124.0,Action|Adventure|Thriller
White House Down ,Roland Emmerich,6.4,131.0,Action|Drama|Thriller
Mars Needs Moms ,Simon Wells,5.4,88.0,Action|Adventure|Animation|Comedy|Family|Sci-Fi
Flushed Away ,David Bowers,6.7,85.0,Adventure|Animation|Comedy|Family
Pan ,Joe Wright,5.8,111.0,Adventure|Family|Fantasy
Mr. Peabody & Sherman ,Rob Minkoff,6.9,92.0,Adventure|Animation|Comedy|Family|Sci-Fi
Troy ,Wolfgang Petersen,7.2,196.0,Adventure
Madagascar 3: Europe's Most Wanted ,Eric Darnell,6.9,93.0,Adventure|Animation|Comedy|Family
Die Another Day ,Lee Tamahori,6.1,133.0,Action|Adventure|Thriller
Ghostbusters ,Paul Feig,5.5,116.0,Action|Comedy|Fantasy|Sci-Fi
Armageddon ,Michael Bay,6.6,153.0,Action|Adventure|Sci-Fi|Thriller
Men in Black II ,Barry Sonnenfeld,6.1,88.0,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi
Beowulf ,Robert Zemeckis,6.3,115.0,Action|Adventure|Animation|Fantasy
Kung Fu Panda 3 ,Alessandro Carloni,7.2,95.0,Action|Adventure|Animation|Comedy|Family
Mission: Impossible - Ghost Protocol ,Brad Bird,7.4,133.0,Action|Adventure|Thriller
Rise of the Guardians ,Peter Ramsey,7.3,97.0,Adventure|Animation|Family|Fantasy
Fun with Dick and Jane ,Dean Parisot,6.1,90.0,Comedy|Crime
The Last Samurai ,Edward Zwick,7.7,154.0,Action|Drama|History|War
Exodus: Gods and Kings ,Ridley Scott,6.1,150.0,Action|Adventure|Drama
Star Trek ,J.J. Abrams,8.0,127.0,Action|Adventure|Sci-Fi
Spider-Man ,Sam Raimi,7.3,121.0,Action|Adventure|Fantasy|Romance
How to Train Your Dragon 2 ,Dean DeBlois,7.9,102.0,Action|Adventure|Animation|Comedy|Family|Fantasy
Gods of Egypt ,Alex Proyas,5.5,126.0,Action|Adventure|Fantasy
Stealth ,Rob Cohen,5.0,121.0,Action|Adventure|Sci-Fi|Thriller
Watchmen ,Zack Snyder,7.7,215.0,Action|Drama|Mystery|Sci-Fi
Lethal Weapon 4 ,Richard Donner,6.6,127.0,Action|Crime|Thriller
Hulk ,Ang Lee,5.7,138.0,Action|Sci-Fi
G.I. Joe: Retaliation ,Jon M. Chu,5.8,122.0,Action|Adventure|Sci-Fi|Thriller
Sahara ,Breck Eisner,6.0,124.0,Action|Adventure|Comedy|Thriller
Final Fantasy: The Spirits Within ,Hironobu Sakaguchi,6.4,106.0,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi
Captain America: The First Avenger ,Joe Johnston,6.9,124.0,Action|Adventure|Sci-Fi
The World Is Not Enough ,Michael Apted,6.4,128.0,Action|Adventure|Thriller
Master and Commander: The Far Side of the World ,Peter Weir,7.4,138.0,Action|Adventure|Drama|History|War
The Twilight Saga: Breaking Dawn - Part 2 ,Bill Condon,5.5,115.0,Adventure|Drama|Fantasy|Romance
Happy Feet 2 ,George Miller,5.9,100.0,Animation|Comedy|Family|Musical
The Incredible Hulk ,Louis Leterrier,6.8,135.0,Action|Adventure|Sci-Fi
Miami Vice             ,,7.5,60.0,Action|Crime|Drama|Mystery|Thriller
The BFG ,Steven Spielberg,6.8,117.0,Adventure|Family|Fantasy
The Revenant ,Alejandro G. Iñárritu,8.1,156.0,Adventure|Drama|Thriller|Western
Turbo ,David Soren,6.5,96.0,Adventure|Animation|Comedy|Family|Sport
Rango ,Gore Verbinski,7.2,107.0,Adventure|Animation|Comedy|Family|Western
Penguins of Madagascar ,Eric Darnell,6.7,92.0,Adventure|Animation|Comedy|Family
The Bourne Ultimatum ,Paul Greengrass,8.1,115.0,Action|Mystery|Thriller
Kung Fu Panda ,Mark Osborne,7.6,92.0,Action|Adventure|Animation|Comedy|Family
Ant-Man ,Peyton Reed,7.4,117.0,Action|Adventure|Comedy|Sci-Fi
The Hunger Games: Catching Fire ,Francis Lawrence,7.6,146.0,Adventure|Sci-Fi|Thriller
The Twilight Saga: Breaking Dawn - Part 2 ,Bill Condon,5.5,115.0,Adventure|Drama|Fantasy|Romance
Home ,Tim Johnson,6.7,94.0,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi
War of the Worlds ,Steven Spielberg,6.5,116.0,Adventure|Sci-Fi|Thriller
Bad Boys II ,Michael Bay,6.6,147.0,Action|Comedy|Crime|Thriller
Puss in Boots ,Chris Miller,6.7,90.0,Action|Adventure|Animation|Comedy|Family|Fantasy
Salt ,Phillip Noyce,6.4,101.0,Action|Crime|Mystery|Thriller
Noah ,Darren Aronofsky,5.8,138.0,Action|Adventure|Drama
The Adventures of Tintin ,Steven Spielberg,7.4,107.0,Action|Adventure|Family|Mystery
Harry Potter and the Prisoner of Azkaban ,Alfonso Cuarón,7.8,142.0,Adventure|Family|Fantasy|Mystery
Australia ,Baz Luhrmann,6.6,165.0,Adventure|Drama|Romance|War
After Earth ,M. Night Shyamalan,4.9,100.0,Action|Adventure|Sci-Fi
Dinosaur ,Eric Leighton,6.5,82.0,Adventure|Animation|Family|Thriller
Harry Potter and the Deathly Hallows: Part II ,Matt Birch,7.5,,Action|Fantasy
Night at the Museum: Secret of the Tomb ,Shawn Levy,6.2,98.0,Adventure|Comedy|Family|Fantasy
Megamind ,Tom McGrath,7.3,95.0,Action|Animation|Comedy|Family|Sci-Fi
Harry Potter and the Sorcerer's Stone ,Chris Columbus,7.5,159.0,Adventure|Family|Fantasy
R.I.P.D. ,Robert Schwentke,5.6,96.0,Action|Comedy|Fantasy
Godzilla Resurgence ,Hideaki Anno,8.2,120.0,Action|Adventure|Drama|Horror|Sci-Fi
Pirates of the Caribbean: The Curse of the Black Pearl ,Gore Verbinski,8.1,143.0,Action|Adventure|Fantasy
Harry Potter and the Deathly Hallows: Part I ,Matt Birch,6.4,,Fantasy
The Hunger Games: Mockingjay - Part 1 ,Francis Lawrence,6.7,123.0,Adventure|Sci-Fi|Thriller
The Da Vinci Code ,Ron Howard,6.6,174.0,Mystery|Thriller
Rio 2 ,Carlos Saldanha,6.4,101.0,Adventure|Animation|Comedy|Family|Musical
X-Men 2 ,Bryan Singer,7.5,134.0,Action|Adventure|Fantasy|Sci-Fi|Thriller
Fast Five ,Justin Lin,7.3,132.0,Action|Crime|Thriller
Sherlock Holmes: A Game of Shadows ,Guy Ritchie,7.5,129.0,Action|Adventure|Crime|Mystery|Thriller
Clash of the Titans ,Louis Leterrier,5.8,106.0,Action|Adventure|Fantasy
Total Recall ,Paul Verhoeven,7.5,113.0,Action|Sci-Fi
The 13th Warrior ,John McTiernan,6.6,102.0,Action|Adventure|History
The Bourne Legacy ,Tony Gilroy,6.7,135.0,Action|Adventure|Thriller
Batman & Robin ,Joel Schumacher,3.7,125.0,Action
How the Grinch Stole Christmas ,Ron Howard,6.0,110.0,Comedy|Family|Fantasy
The Day After Tomorrow ,Roland Emmerich,6.4,124.0,Action|Adventure|Sci-Fi|Thriller
Mission: Impossible II ,John Woo,6.1,123.0,Action|Adventure|Thriller
The Perfect Storm ,Wolfgang Petersen,6.4,130.0,Action|Adventure|Drama|Thriller
Fantastic 4: Rise of the Silver Surfer ,Tim Story,5.6,92.0,Action|Adventure|Sci-Fi|Thriller
Life of Pi ,Ang Lee,8.0,127.0,Adventure|Drama|Fantasy
Ghost Rider ,Mark Steven Johnson,5.2,123.0,Action|Fantasy|Thriller
Jason Bourne ,Paul Greengrass,7.1,123.0,Action|Thriller
Charlie's Angels: Full Throttle ,McG,4.8,107.0,Action|Adventure|Comedy|Crime
Prometheus ,Ridley Scott,7.0,124.0,Adventure|Mystery|Sci-Fi
Stuart Little 2 ,Rob Minkoff,5.4,77.0,Adventure|Animation|Comedy|Family|Fantasy
Elysium ,Neill Blomkamp,6.6,109.0,Action|Drama|Sci-Fi|Thriller
The Chronicles of Riddick ,David Twohy,6.7,134.0,Action|Adventure|Sci-Fi|Thriller
RoboCop ,José Padilha,6.2,117.0,Action|Crime|Sci-Fi|Thriller
Speed Racer ,Lana Wachowski,6.1,135.0,Action|Family|Sport
How Do You Know ,James L. Brooks,5.3,121.0,Comedy|Drama|Romance
Knight and Day ,James Mangold,6.3,117.0,Action|Comedy|Romance
Oblivion ,Joseph Kosinski,7.0,124.0,Action|Adventure|Mystery|Sci-Fi
Star Wars: Episode III - Revenge of the Sith ,George Lucas,7.6,140.0,Action|Adventure|Fantasy|Sci-Fi
Star Wars: Episode II - Attack of the Clones ,George Lucas,6.7,142.0,Action|Adventure|Fantasy|Sci-Fi
"Monsters, Inc. ",Pete Docter,8.1,92.0,Adventure|Animation|Comedy|Family|Fantasy
The Wolverine ,James Mangold,6.7,138.0,Action|Adventure|Sci-Fi|Thriller
Star Wars: Episode I - The Phantom Menace ,George Lucas,6.5,136.0,Action|Adventure|Fantasy|Sci-Fi
The Croods ,Kirk De Micco,7.3,98.0,Adventure|Animation|Comedy|Family|Fantasy
Asterix at the Olympic Games ,Frédéric Forestier,5.1,116.0,Adventure|Comedy|Family|Fantasy
Windtalkers ,John Woo,6.0,153.0,Action|Drama|War
The Huntsman: Winter's War ,Cedric Nicolas-Troyan,6.1,120.0,Action|Adventure|Drama|Fantasy
Teenage Mutant Ninja Turtles ,Jonathan Liebesman,5.9,101.0,Action|Adventure|Comedy|Sci-Fi
Gravity ,Alfonso Cuarón,7.8,91.0,Adventure|Drama|Sci-Fi|Thriller
Dante's Peak ,Roger Donaldson,5.8,108.0,Action|Adventure|Thriller
Teenage Mutant Ninja Turtles: Out of the Shadows ,Dave Green,6.3,112.0,Action|Adventure|Comedy|Sci-Fi
Fantastic Four ,Josh Trank,4.3,100.0,Action|Adventure|Sci-Fi
Night at the Museum ,Shawn Levy,6.4,108.0,Action|Adventure|Comedy|Family|Fantasy
San Andreas ,Brad Peyton,6.1,114.0,Action|Adventure|Drama|Thriller
Tomorrow Never Dies ,Roger Spottiswoode,6.5,119.0,Action|Adventure|Thriller
The Patriot ,Roland Emmerich,7.1,142.0,Action|Drama|History|War
Ocean's Twelve ,Steven Soderbergh,6.4,125.0,Crime|Thriller
Mr. & Mrs. Smith ,Doug Liman,6.5,126.0,Action|Comedy|Crime|Romance|Thriller
Insurgent ,Robert Schwentke,6.3,119.0,Adventure|Sci-Fi|Thriller
The Aviator ,Martin Scorsese,7.5,170.0,Biography|Drama
Gulliver's Travels ,Rob Letterman,4.9,85.0,Adventure|Comedy|Family|Fantasy
The Green Hornet ,Michel Gondry,5.8,119.0,Action|Comedy|Crime|Sci-Fi|Thriller
The A-Team             ,,7.6,60.0,Action|Adventure|Crime
300: Rise of an Empire ,Noam Murro,6.2,102.0,Action|Drama|Fantasy|War
The Smurfs ,Raja Gosnell,5.5,103.0,Adventure|Animation|Comedy|Family|Fantasy
Home on the Range ,Will Finn,5.4,76.0,Animation|Comedy|Family|Music|Western
Allegiant ,Robert Schwentke,5.8,120.0,Action|Adventure|Mystery|Sci-Fi|Thriller
Real Steel ,Shawn Levy,7.1,127.0,Action|Drama|Sci-Fi|Sport
The Smurfs 2 ,Raja Gosnell,5.4,105.0,Adventure|Animation|Comedy|Family|Fantasy
Speed 2: Cruise Control ,Jan de Bont,3.7,121.0,Action|Crime|Romance|Thriller
Ender's Game ,Gavin Hood,6.7,114.0,Action|Sci-Fi
Live Free or Die Hard ,Len Wiseman,7.2,129.0,Action|Adventure|Thriller
The Lord of the Rings: The Fellowship of the Ring ,Peter Jackson,8.8,171.0,Action|Adventure|Drama|Fantasy
Around the World in 80 Days ,Frank Coraci,5.8,120.0,Action|Adventure|Comedy
Ali ,Michael Mann,6.8,165.0,Biography|Drama|Sport
The Cat in the Hat ,Bo Welch,3.8,82.0,Adventure|Comedy|Family|Fantasy
"I, Robot ",Alex Proyas,7.1,115.0,Action|Mystery|Sci-Fi|Thriller
Kingdom of Heaven ,Ridley Scott,7.2,194.0,Action|Adventure|Drama|History|War
Stuart Little ,Rob Minkoff,5.9,84.0,Adventure|Comedy|Family|Fantasy
The Princess and the Frog ,Ron Clements,7.1,97.0,Animation|Family|Fantasy|Musical|Romance
The Martian ,Ridley Scott,8.1,151.0,Adventure|Drama|Sci-Fi
"10,000 B.C.             ",Christopher Barnard,7.2,22.0,Comedy
The Island ,Michael Bay,6.9,136.0,Action|Adventure|Romance|Sci-Fi|Thriller
Town & Country ,Peter Chelsom,4.4,104.0,Comedy|Romance
Gone in Sixty Seconds ,Dominic Sena,6.5,127.0,Action|Crime|Thriller
Gladiator ,Ridley Scott,8.5,171.0,Action|Drama|Romance
Minority Report ,Steven Spielberg,7.7,145.0,Action|Mystery|Sci-Fi|Thriller
Harry Potter and the Chamber of Secrets ,Chris Columbus,7.4,174.0,Adventure|Family|Fantasy|Mystery
Casino Royale ,Martin Campbell,8.0,144.0,Action|Adventure|Thriller
Planet of the Apes ,Tim Burton,5.7,119.0,Action|Adventure|Sci-Fi|Thriller
Terminator 2: Judgment Day ,James Cameron,8.5,153.0,Action|Sci-Fi
Public Enemies ,Michael Mann,7.0,140.0,Biography|Crime|Drama|History|Romance
American Gangster ,Ridley Scott,7.8,176.0,Biography|Crime|Drama
True Lies ,James Cameron,7.2,141.0,Action|Comedy|Thriller
The Taking of Pelham 1 2 3 ,Tony Scott,6.4,106.0,Action|Crime|Thriller
Little Fockers ,Paul Weitz,5.5,98.0,Comedy|Romance
The Other Guys ,Adam McKay,6.7,116.0,Action|Comedy|Crime
Eraser ,Chuck Russell,6.1,115.0,Action|Drama|Mystery|Thriller
Django Unchained ,Quentin Tarantino,8.5,165.0,Drama|Western
The Hunchback of Notre Dame ,Gary Trousdale,6.9,91.0,Animation|Drama|Family|Musical|Romance
The Emperor's New Groove ,Mark Dindal,7.3,78.0,Adventure|Animation|Comedy|Family|Fantasy
The Expendables 2 ,Simon West,6.7,103.0,Action|Adventure|Thriller
National Treasure ,Jon Turteltaub,6.9,131.0,Action|Adventure|Comedy|Family|Mystery
Eragon ,Stefen Fangmeier,5.1,104.0,Action|Adventure|Family|Fantasy
Where the Wild Things Are ,Spike Jonze,6.8,101.0,Adventure|Drama|Family|Fantasy
Pan ,Joe Wright,5.8,111.0,Adventure|Family|Fantasy
Epic ,Chris Wedge,6.7,102.0,Adventure|Animation|Family|Fantasy
The Tourist ,Florian Henckel von Donnersmarck,6.0,103.0,Action|Romance|Thriller
End of Days ,Peter Hyams,5.7,121.0,Action|Fantasy|Horror|Mystery
Blood Diamond ,Edward Zwick,8.0,143.0,Adventure|Drama|Thriller
The Wolf of Wall Street ,Martin Scorsese,8.2,240.0,Biography|Comedy|Crime|Drama
Batman Forever ,Joel Schumacher,5.4,121.0,Action|Adventure|Fantasy
Starship Troopers ,Paul Verhoeven,7.2,129.0,Action|Sci-Fi|War
Cloud Atlas ,Tom Tykwer,7.5,172.0,Drama|Sci-Fi
Legend of the Guardians: The Owls of Ga'Hoole ,Zack Snyder,7.0,101.0,Action|Adventure|Animation|Family|Fantasy
Catwoman ,Pitof,3.3,87.0,Action|Crime|Fantasy|Romance|Thriller
Hercules ,Brett Ratner,6.0,101.0,Action|Adventure
