movie_title,imdb_score,title_year
Prince of Persia: The Sands of Time ,6.6,2010.0
Pacific Rim ,7.0,2013.0
Transformers: Dark of the Moon ,6.3,2011.0
Indiana Jones and the Kingdom of the Crystal Skull ,6.2,2008.0
The Good Dinosaur ,6.8,2015.0
Brave ,7.2,2012.0
Star Trek Beyond ,7.5,2016.0
WALL·E ,8.4,2008.0
Rush Hour 3 ,6.2,2007.0
2012 ,5.8,2009.0
A Christmas Carol ,6.8,2009.0
Jupiter Ascending ,5.4,2015.0
The Legend of Tarzan ,6.6,2016.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",6.9,2005.0
X-Men: Apocalypse ,7.3,2016.0
The Dark Knight ,9.0,2008.0
Up ,8.3,2009.0
Monsters vs. Aliens ,6.5,2009.0
Iron Man ,7.9,2008.0
Hugo ,7.5,2011.0
Wild Wild West ,4.8,1999.0
The Mummy: Tomb of the Dragon Emperor ,5.2,2008.0
Suicide Squad ,6.9,2016.0
Evan Almighty ,5.4,2007.0
Edge of Tomorrow ,7.9,2014.0
Waterworld ,6.1,1995.0
G.I. Joe: The Rise of Cobra ,5.8,2009.0
Inside Out ,8.3,2015.0
The Jungle Book ,7.8,2016.0
Iron Man 2 ,7.0,2010.0
Snow White and the Huntsman ,6.1,2012.0
Maleficent ,7.0,2014.0
Dawn of the Planet of the Apes ,7.6,2014.0
The Lovers ,4.5,2015.0
47 Ronin ,6.3,2013.0
Captain America: The Winter Soldier ,7.8,2014.0
Shrek Forever After ,6.4,2010.0
Tomorrowland ,6.5,2015.0
Big Hero 6 ,7.9,2014.0
Wreck-It Ralph ,7.8,2012.0
The Polar Express ,6.6,2004.0
Independence Day: Resurgence ,5.5,2016.0
How to Train Your Dragon ,8.2,2010.0
Terminator 3: Rise of the Machines ,6.4,2003.0
Guardians of the Galaxy ,8.1,2014.0
Interstellar ,8.6,2014.0
Inception ,8.8,2010.0
Godzilla Resurgence ,8.2,2016.0
The Hobbit: An Unexpected Journey ,7.9,2012.0
The Fast and the Furious ,6.7,2001.0
The Curious Case of Benjamin Button ,7.8,2008.0
X-Men: First Class ,7.8,2011.0
The Hunger Games: Mockingjay - Part 2 ,6.6,2015.0
The Sorcerer's Apprentice ,6.1,2010.0
Poseidon ,5.6,2006.0
Alice Through the Looking Glass ,6.4,2016.0
Shrek the Third ,6.1,2007.0
Warcraft ,7.3,2016.0
Terminator Genisys ,6.6,2015.0
The Chronicles of Narnia: The Voyage of the Dawn Treader ,6.3,2010.0
Pearl Harbor ,6.1,2001.0
Transformers ,7.1,2007.0
Alexander ,5.5,2004.0
Harry Potter and the Order of the Phoenix ,7.5,2007.0
Harry Potter and the Goblet of Fire ,7.6,2005.0
Hancock ,6.4,2008.0
I Am Legend ,7.2,2007.0
Charlie and the Chocolate Factory ,6.7,2005.0
Ratatouille ,8.0,2007.0
Batman Begins ,8.3,2005.0
Madagascar: Escape 2 Africa ,6.7,2008.0
Night at the Museum: Battle of the Smithsonian ,5.9,2009.0
X-Men Origins: Wolverine ,6.7,2009.0
The Matrix Revolutions ,6.7,2003.0
Frozen ,7.6,2013.0
The Matrix Reloaded ,7.2,2003.0
Thor: The Dark World ,7.1,2013.0
Mad Max: Fury Road ,8.1,2015.0
Angels & Demons ,6.7,2009.0
Thor ,7.0,2011.0
Bolt ,6.9,2008.0
G-Force ,5.1,2009.0
Wrath of the Titans ,5.8,2012.0
Dark Shadows ,6.2,2012.0
Mission: Impossible - Rogue Nation ,7.4,2015.0
The Wolfman ,5.8,2010.0
The Legend of Tarzan ,6.6,2016.0
Bee Movie ,6.2,2007.0
Kung Fu Panda 2 ,7.3,2011.0
The Last Airbender ,4.2,2010.0
Mission: Impossible III ,6.9,2006.0
White House Down ,6.4,2013.0
Mars Needs Moms ,5.4,2011.0
Flushed Away ,6.7,2006.0
Pan ,5.8,2015.0
Mr. Peabody & Sherman ,6.9,2014.0
Troy ,7.2,2004.0
Madagascar 3: Europe's Most Wanted ,6.9,2012.0
Die Another Day ,6.1,2002.0
Ghostbusters ,5.5,2016.0
Armageddon ,6.6,1998.0
Men in Black II ,6.1,2002.0
Beowulf ,6.3,2007.0
Kung Fu Panda 3 ,7.2,2016.0
Mission: Impossible - Ghost Protocol ,7.4,2011.0
Rise of the Guardians ,7.3,2012.0
Fun with Dick and Jane ,6.1,2005.0
The Last Samurai ,7.7,2003.0
Exodus: Gods and Kings ,6.1,2014.0
Star Trek ,8.0,2009.0
Spider-Man ,7.3,2002.0
How to Train Your Dragon 2 ,7.9,2014.0
Gods of Egypt ,5.5,2016.0
Stealth ,5.0,2005.0
Watchmen ,7.7,2009.0
Lethal Weapon 4 ,6.6,1998.0
Hulk ,5.7,2003.0
G.I. Joe: Retaliation ,5.8,2013.0
Sahara ,6.0,2005.0
Final Fantasy: The Spirits Within ,6.4,2001.0
Captain America: The First Avenger ,6.9,2011.0
The World Is Not Enough ,6.4,1999.0
Master and Commander: The Far Side of the World ,7.4,2003.0
The Twilight Saga: Breaking Dawn - Part 2 ,5.5,2012.0
Happy Feet 2 ,5.9,2011.0
The Incredible Hulk ,6.8,2008.0
Miami Vice             ,7.5,
The BFG ,6.8,2016.0
The Revenant ,8.1,2015.0
Turbo ,6.5,2013.0
Rango ,7.2,2011.0
Penguins of Madagascar ,6.7,2014.0
The Bourne Ultimatum ,8.1,2007.0
Kung Fu Panda ,7.6,2008.0
Ant-Man ,7.4,2015.0
The Hunger Games: Catching Fire ,7.6,2013.0
The Twilight Saga: Breaking Dawn - Part 2 ,5.5,2012.0
Home ,6.7,2015.0
War of the Worlds ,6.5,2005.0
Bad Boys II ,6.6,2003.0
Puss in Boots ,6.7,2011.0
Salt ,6.4,2010.0
Noah ,5.8,2014.0
The Adventures of Tintin ,7.4,2011.0
Harry Potter and the Prisoner of Azkaban ,7.8,2004.0
Australia ,6.6,2008.0
After Earth ,4.9,2013.0
Dinosaur ,6.5,2000.0
Harry Potter and the Deathly Hallows: Part II ,7.5,2011.0
Night at the Museum: Secret of the Tomb ,6.2,2014.0
Megamind ,7.3,2010.0
Harry Potter and the Sorcerer's Stone ,7.5,2001.0
R.I.P.D. ,5.6,2013.0
Godzilla Resurgence ,8.2,2016.0
Pirates of the Caribbean: The Curse of the Black Pearl ,8.1,2003.0
Harry Potter and the Deathly Hallows: Part I ,6.4,2010.0
The Hunger Games: Mockingjay - Part 1 ,6.7,2014.0
The Da Vinci Code ,6.6,2006.0
Rio 2 ,6.4,2014.0
X-Men 2 ,7.5,2003.0
Fast Five ,7.3,2011.0
Sherlock Holmes: A Game of Shadows ,7.5,2011.0
Clash of the Titans ,5.8,2010.0
Total Recall ,7.5,1990.0
The 13th Warrior ,6.6,1999.0
The Bourne Legacy ,6.7,2012.0
Batman & Robin ,3.7,1997.0
How the Grinch Stole Christmas ,6.0,2000.0
The Day After Tomorrow ,6.4,2004.0
Mission: Impossible II ,6.1,2000.0
The Perfect Storm ,6.4,2000.0
Fantastic 4: Rise of the Silver Surfer ,5.6,2007.0
Life of Pi ,8.0,2012.0
Ghost Rider ,5.2,2007.0
Jason Bourne ,7.1,2016.0
Charlie's Angels: Full Throttle ,4.8,2003.0
Prometheus ,7.0,2012.0
Stuart Little 2 ,5.4,2002.0
Elysium ,6.6,2013.0
The Chronicles of Riddick ,6.7,2004.0
RoboCop ,6.2,2014.0
Speed Racer ,6.1,2008.0
How Do You Know ,5.3,2010.0
Knight and Day ,6.3,2010.0
Oblivion ,7.0,2013.0
Star Wars: Episode III - Revenge of the Sith ,7.6,2005.0
Star Wars: Episode II - Attack of the Clones ,6.7,2002.0
"Monsters, Inc. ",8.1,2001.0
The Wolverine ,6.7,2013.0
Star Wars: Episode I - The Phantom Menace ,6.5,1999.0
The Croods ,7.3,2013.0
Asterix at the Olympic Games ,5.1,2008.0
Windtalkers ,6.0,2002.0
The Huntsman: Winter's War ,6.1,2016.0
Teenage Mutant Ninja Turtles ,5.9,2014.0
Gravity ,7.8,2013.0
Dante's Peak ,5.8,1997.0
Teenage Mutant Ninja Turtles: Out of the Shadows ,6.3,2016.0
Fantastic Four ,4.3,2015.0
Night at the Museum ,6.4,2006.0
San Andreas ,6.1,2015.0
Tomorrow Never Dies ,6.5,1997.0
The Patriot ,7.1,2000.0
Ocean's Twelve ,6.4,2004.0
Mr. & Mrs. Smith ,6.5,2005.0
Insurgent ,6.3,2015.0
The Aviator ,7.5,2004.0
Gulliver's Travels ,4.9,2010.0
The Green Hornet ,5.8,2011.0
The A-Team             ,7.6,
300: Rise of an Empire ,6.2,2014.0
The Smurfs ,5.5,2011.0
Home on the Range ,5.4,2004.0
Allegiant ,5.8,2016.0
Real Steel ,7.1,2011.0
The Smurfs 2 ,5.4,2013.0
Speed 2: Cruise Control ,3.7,1997.0
Ender's Game ,6.7,2013.0
Live Free or Die Hard ,7.2,2007.0
The Lord of the Rings: The Fellowship of the Ring ,8.8,2001.0
Around the World in 80 Days ,5.8,2004.0
Ali ,6.8,2001.0
The Cat in the Hat ,3.8,2003.0
"I, Robot ",7.1,2004.0
Kingdom of Heaven ,7.2,2005.0
Stuart Little ,5.9,1999.0
The Princess and the Frog ,7.1,2009.0
The Martian ,8.1,2015.0
"10,000 B.C.             ",7.2,
The Island ,6.9,2005.0
Town & Country ,4.4,2001.0
Gone in Sixty Seconds ,6.5,2000.0
Gladiator ,8.5,2000.0
Minority Report ,7.7,2002.0
Harry Potter and the Chamber of Secrets ,7.4,2002.0
Casino Royale ,8.0,2006.0
Planet of the Apes ,5.7,2001.0
Terminator 2: Judgment Day ,8.5,1991.0
Public Enemies ,7.0,2009.0
American Gangster ,7.8,2007.0
True Lies ,7.2,1994.0
The Taking of Pelham 1 2 3 ,6.4,2009.0
Little Fockers ,5.5,2010.0
The Other Guys ,6.7,2010.0
Eraser ,6.1,1996.0
Django Unchained ,8.5,2012.0
The Hunchback of Notre Dame ,6.9,1996.0
The Emperor's New Groove ,7.3,2000.0
The Expendables 2 ,6.7,2012.0
National Treasure ,6.9,2004.0
Eragon ,5.1,2006.0
Where the Wild Things Are ,6.8,2009.0
Pan ,5.8,2015.0
Epic ,6.7,2013.0
The Tourist ,6.0,2010.0
End of Days ,5.7,1999.0
Blood Diamond ,8.0,2006.0
The Wolf of Wall Street ,8.2,2013.0
Batman Forever ,5.4,1995.0
Starship Troopers ,7.2,1997.0
Cloud Atlas ,7.5,2012.0
Legend of the Guardians: The Owls of Ga'Hoole ,7.0,2010.0
Catwoman ,3.3,2004.0
Hercules ,6.0,2014.0
Treasure Planet ,7.1,2002.0
Land of the Lost ,5.4,2009.0
The Expendables 3 ,6.1,2014.0
Point Break ,5.3,2015.0
Son of the Mask ,2.2,2005.0
In the Heart of the Sea ,7.0,2015.0
The Adventures of Pluto Nash ,3.8,2002.0
Green Zone ,6.9,2010.0
The Peanuts Movie ,7.2,2015.0
The Spanish Prisoner ,7.3,1997.0
The Mummy Returns ,6.3,2001.0
Gangs of New York ,7.5,2002.0
The Flowers of War ,7.6,2011.0
Surf's Up ,6.8,2007.0
The Stepford Wives ,5.2,2004.0
Black Hawk Down ,7.7,2001.0
The Campaign ,6.2,2012.0
The Fifth Element ,7.7,1997.0
Sex and the City 2 ,4.3,2010.0
The Road to El Dorado ,6.9,2000.0
Ice Age: Continental Drift ,6.6,2012.0
Cinderella ,7.0,2015.0
The Lovely Bones ,6.7,2009.0
Finding Nemo ,8.2,2003.0
The Lord of the Rings: The Return of the King ,8.9,2003.0
The Lord of the Rings: The Two Towers ,8.7,2002.0
Seventh Son ,5.5,2014.0
Lara Croft: Tomb Raider ,5.7,2001.0
Transcendence ,6.3,2014.0
Jurassic Park III ,5.9,2001.0
Rise of the Planet of the Apes ,7.6,2011.0
The Spiderwick Chronicles ,6.6,2008.0
A Good Day to Die Hard ,5.3,2013.0
The Alamo ,6.0,2004.0
The Incredibles ,8.0,2004.0
Cutthroat Island ,5.6,1995.0
Percy Jackson & the Olympians: The Lightning Thief ,5.9,2010.0
Men in Black ,7.3,1997.0
Toy Story 2 ,7.9,1999.0
Unstoppable ,6.8,2010.0
Rush Hour 2 ,6.6,2001.0
What Lies Beneath ,6.6,2000.0
Cloudy with a Chance of Meatballs ,7.0,2009.0
Ice Age: Dawn of the Dinosaurs ,7.0,2009.0
The Secret Life of Walter Mitty ,7.3,2013.0
Charlie's Angels ,5.5,2000.0
The Departed ,8.5,2006.0
Mulan ,7.5,1998.0
Tropic Thunder ,7.0,2008.0
The Girl with the Dragon Tattoo ,7.8,2011.0
Die Hard with a Vengeance ,7.6,1995.0
Sherlock Holmes ,7.6,2009.0
Ben-Hur ,6.1,2016.0
Atlantis: The Lost Empire ,6.8,2001.0
Alvin and the Chipmunks: The Road Chip ,5.0,2015.0
Valkyrie ,7.1,2008.0
You Don't Mess with the Zohan ,5.5,2008.0
Pixels ,5.6,2015.0
A.I. Artificial Intelligence ,7.1,2001.0
The Haunted Mansion ,4.9,2003.0
Contact ,7.4,1997.0
Hollow Man ,5.7,2000.0
The Interpreter ,6.4,2005.0
Percy Jackson: Sea of Monsters ,5.9,2013.0
Lara Croft Tomb Raider: The Cradle of Life ,5.5,2003.0
Now You See Me 2 ,6.9,2016.0
The Saint ,6.2,1997.0
Spy Game ,7.0,2001.0
Mission to Mars ,5.6,2000.0
Rio ,7.0,2011.0
Bicentennial Man ,6.8,1999.0
Volcano ,5.4,1997.0
The Devil's Own ,6.1,1997.0
K-19: The Widowmaker ,6.7,2002.0
Fantastic Four ,4.3,2015.0
Conan the Barbarian ,6.9,1982.0
Cinderella Man ,8.0,2005.0
The Nutcracker in 3D ,4.4,2010.0
Seabiscuit ,7.3,2003.0
Twister ,6.3,1996.0
The Fast and the Furious ,6.7,2001.0
Cast Away ,7.7,2000.0
Happy Feet ,6.5,2006.0
The Bourne Supremacy ,7.8,2004.0
Air Force One ,6.4,1997.0
Ocean's Eleven ,7.8,2001.0
The Three Musketeers ,5.8,2011.0
Hotel Transylvania ,7.1,2012.0
Enchanted ,7.1,2007.0
Hannibal             ,8.6,
Safe House ,6.8,2012.0
102 Dalmatians ,4.8,2000.0
Tower Heist ,6.2,2011.0
The Holiday ,6.9,2006.0
Enemy of the State ,7.3,1998.0
It's Complicated ,6.6,2009.0
Ocean's Thirteen ,6.9,2007.0
Open Season ,6.2,2006.0
Divergent ,6.7,2014.0
Enemy at the Gates ,7.6,2001.0
The Rundown ,6.7,2003.0
Last Action Hero ,6.2,1993.0
Memoirs of a Geisha ,7.3,2005.0
The Fast and the Furious: Tokyo Drift ,6.0,2006.0
Arthur Christmas ,7.1,2011.0
Meet Joe Black ,7.1,1998.0
Collateral Damage ,5.5,2002.0
All That Jazz ,7.8,1979.0
Mirror Mirror ,5.6,2012.0
Scott Pilgrim vs. the World ,7.5,2010.0
The Core ,5.4,2003.0
Nutty Professor II: The Klumps ,4.3,2000.0
Scooby-Doo ,4.9,2002.0
Dredd ,7.1,2012.0
Click ,6.4,2006.0
Creepshow ,6.9,1982.0
Cats & Dogs: The Revenge of Kitty Galore ,4.3,2010.0
Jumper ,6.1,2008.0
Hellboy II: The Golden Army ,7.0,2008.0
Zodiac ,7.7,2007.0
The 6th Day ,5.9,2000.0
Bruce Almighty ,6.7,2003.0
The Expendables ,6.5,2010.0
Mission: Impossible ,7.1,1996.0
The Hunger Games ,7.3,2012.0
The Hangover Part II ,6.5,2011.0
Batman Returns ,7.0,1992.0
Over the Hedge ,6.8,2006.0
Lilo & Stitch ,7.2,2002.0
Charlotte's Web ,6.4,2006.0
Deep Impact ,6.1,1998.0
RED 2 ,6.7,2013.0
The Longest Yard ,6.4,2005.0
Alvin and the Chipmunks: Chipwrecked ,4.4,2011.0
Grown Ups 2 ,5.4,2013.0
Get Smart ,6.5,2008.0
Something's Gotta Give ,6.7,2003.0
Shutter Island ,8.1,2010.0
Four Christmases ,5.6,2008.0
Robots ,6.3,2005.0
Face/Off ,7.3,1997.0
Bedtime Stories ,6.1,2008.0
Road to Perdition ,7.7,2002.0
Just Go with It ,6.4,2011.0
Daredevil             ,8.8,
Con Air ,6.8,1997.0
Eagle Eye ,6.6,2008.0
Cold Mountain ,7.2,2003.0
The Book of Eli ,6.9,2010.0
Flubber ,5.2,1997.0
The Haunting ,4.9,1999.0
Space Jam ,6.3,1996.0
The Pink Panther ,5.6,2006.0
The Day the Earth Stood Still ,5.5,2008.0
Conspiracy Theory ,6.7,1997.0
Fury ,7.6,2014.0
Six Days Seven Nights ,5.7,1998.0
Yogi Bear ,4.6,2010.0
Spirit: Stallion of the Cimarron ,7.0,2002.0
Zookeeper ,5.2,2011.0
Lost in Space ,5.1,1998.0
The Manchurian Candidate ,6.6,2004.0
Déjà Vu ,7.0,1997.0
Hotel Transylvania 2 ,6.7,2015.0
Bewitched             ,7.6,
Fantasia 2000 ,7.3,1999.0
The Time Machine ,5.9,2002.0
Mighty Joe Young ,5.6,1998.0
Swordfish ,6.5,2001.0
The Legend of Zorro ,5.9,2005.0
What Dreams May Come ,7.0,1998.0
Little Nicky ,5.3,2000.0
The Brothers Grimm ,5.9,2005.0
Mars Attacks! ,6.3,1996.0
Evolution ,6.4,2015.0
The Edge ,6.9,1997.0
Surrogates ,6.3,2009.0
Thirteen Days ,7.3,2000.0
Daylight ,5.8,1996.0
Walking with Dinosaurs 3D ,5.2,2013.0
Battlefield Earth ,2.4,2000.0
Looney Tunes: Back in Action ,5.7,2003.0
Nine ,5.8,2009.0
Timeline ,5.6,2003.0
The Postman ,6.0,1997.0
Babe: Pig in the City ,5.8,1998.0
The Last Witch Hunter ,6.0,2015.0
Red Planet ,5.7,2000.0
Arthur and the Invisibles ,6.0,2006.0
Oceans ,7.8,2009.0
A Sound of Thunder ,4.2,2005.0
Pompeii ,5.6,2014.0
Top Cat Begins ,4.4,2015.0
A Beautiful Mind ,8.2,2001.0
The Lion King ,8.5,1994.0
Journey 2: The Mysterious Island ,5.8,2012.0
Cloudy with a Chance of Meatballs 2 ,6.5,2013.0
Red Dragon ,7.2,2002.0
Hidalgo ,6.7,2004.0
Jack and Jill ,3.4,2011.0
2 Fast 2 Furious ,5.9,2003.0
The Little Prince ,7.8,2015.0
The Invasion ,5.9,2007.0
The Adventures of Rocky & Bullwinkle ,4.1,2000.0
The Secret Life of Pets ,6.8,2016.0
The League of Extraordinary Gentlemen ,5.8,2003.0
Despicable Me 2 ,7.5,2013.0
Independence Day ,6.9,1996.0
The Lost World: Jurassic Park ,6.5,1997.0
Madagascar ,6.9,2005.0
Children of Men ,7.9,2006.0
X-Men ,7.4,2000.0
Wanted ,6.7,2008.0
The Rock ,7.4,1996.0
Ice Age: The Meltdown ,6.9,2006.0
50 First Dates ,6.8,2004.0
Hairspray ,6.7,2007.0
Exorcist: The Beginning ,5.1,2004.0
Inspector Gadget ,4.1,1999.0
Now You See Me ,7.3,2013.0
Grown Ups ,6.0,2010.0
The Terminal ,7.3,2004.0
Constantine             ,7.5,
Hotel for Dogs ,5.4,2009.0
Vertical Limit ,5.9,2000.0
Charlie Wilson's War ,7.1,2007.0
Shark Tale ,6.0,2004.0
Dreamgirls ,6.5,2006.0
Life             ,8.3,
Be Cool ,5.7,2005.0
Munich ,7.6,2005.0
Tears of the Sun ,6.6,2003.0
Killers ,5.4,2010.0
The Man from U.N.C.L.E. ,7.3,2015.0
Spanglish ,6.5,2004.0
Monster House ,6.6,2006.0
Bandits ,6.6,2001.0
First Knight ,5.9,1995.0
Anna and the King ,6.7,1999.0
Immortals ,6.1,2011.0
Hostage ,6.6,2005.0
Titan A.E. ,6.6,2000.0
Hollywood Homicide ,5.3,2003.0
Soldier ,6.0,1998.0
Carriers ,6.0,2009.0
Monkeybone ,4.7,2001.0
Flight of the Phoenix ,6.1,2004.0
Unbreakable ,7.2,2000.0
Minions ,6.4,2015.0
Sucker Punch ,6.1,2011.0
Snake Eyes ,5.9,1998.0
Sphere ,6.0,1998.0
The Angry Birds Movie ,6.3,2016.0
Fool's Gold ,5.6,2008.0
Funny People ,6.4,2009.0
The Kingdom ,7.1,2007.0
Talladega Nights: The Ballad of Ricky Bobby ,6.6,2006.0
Dr. Dolittle 2 ,4.6,2001.0
Braveheart ,8.4,1995.0
Jarhead ,7.1,2005.0
The Simpsons Movie ,7.4,2007.0
The Majestic ,6.9,2001.0
Driven ,4.5,2001.0
Two Brothers ,7.1,2004.0
The Village ,6.5,2004.0
Doctor Dolittle ,5.3,1998.0
Signs ,6.7,2002.0
Shrek 2 ,7.2,2004.0
Cars ,7.2,2006.0
Runaway Bride ,5.5,1999.0
xXx ,5.8,2002.0
The SpongeBob Movie: Sponge Out of Water ,6.0,2015.0
Ransom ,6.6,1996.0
Inglourious Basterds ,8.3,2009.0
Hook ,6.7,1991.0
Hercules ,6.0,2014.0
Die Hard 2 ,7.1,1990.0
S.W.A.T. ,6.0,2003.0
Sleepy Hollow             ,7.5,
Vanilla Sky ,6.9,2001.0
Lady in the Water ,5.6,2006.0
AVP: Alien vs. Predator ,5.6,2004.0
Alvin and the Chipmunks: The Squeakquel ,4.5,2009.0
We Were Soldiers ,7.1,2002.0
Olympus Has Fallen ,6.5,2013.0
Star Trek: Insurrection ,6.4,1998.0
Battle Los Angeles ,5.8,2011.0
Big Fish ,8.0,2003.0
Wolf ,6.2,1994.0
War Horse ,7.2,2011.0
The Monuments Men ,6.1,2014.0
The Abyss ,7.6,1989.0
Wall Street: Money Never Sleeps ,6.3,2010.0
Dracula Untold ,6.3,2014.0
The Siege ,6.3,1998.0
Stardust ,7.7,2007.0
Seven Years in Tibet ,7.0,1997.0
The Dilemma ,5.3,2011.0
Bad Company ,5.6,2002.0
Doom ,5.2,2005.0
I Spy ,5.4,2002.0
Underworld: Awakening ,6.4,2012.0
Rock of Ages ,5.9,2012.0
Hart's War ,6.3,2002.0
Killer Elite ,6.5,2011.0
Rollerball ,3.0,2002.0
Ballistic: Ecks vs. Sever ,3.6,2002.0
Hard Rain ,5.8,1998.0
Osmosis Jones ,6.2,2001.0
Legends of Oz: Dorothy's Return ,5.6,2013.0
Blackhat ,5.4,2015.0
Sky Captain and the World of Tomorrow ,6.1,2004.0
Basic Instinct 2 ,4.2,2006.0
Escape Plan ,6.7,2013.0
The Legend of Hercules ,4.2,2014.0
The Sum of All Fears ,6.4,2002.0
The Twilight Saga: Eclipse ,4.9,2010.0
The Score ,6.8,2001.0
Despicable Me ,7.7,2010.0
Money Train ,5.6,1995.0
Ted 2 ,6.4,2015.0
Agora ,7.2,2009.0
Mystery Men ,6.0,1999.0
Hall Pass ,5.9,2011.0
The Insider ,7.9,1999.0
The Finest Hours ,6.8,2016.0
Body of Lies ,7.1,2008.0
Dinner for Schmucks ,5.9,2010.0
Abraham Lincoln: Vampire Hunter ,5.9,2012.0
Entrapment ,6.2,1999.0
Last Man Standing             ,7.4,
The X Files ,7.0,1998.0
The Last Legion ,5.4,2007.0
Saving Private Ryan ,8.6,1998.0
Need for Speed ,6.5,2014.0
What Women Want ,6.4,2000.0
Ice Age ,7.6,2002.0
Dreamcatcher ,5.5,2003.0
Lincoln ,7.4,2012.0
The Matrix ,8.7,1999.0
Apollo 13 ,7.6,1995.0
Total Recall ,7.5,1990.0
The Santa Clause 2 ,5.5,2002.0
Les Misérables ,7.6,2012.0
You've Got Mail ,6.5,1998.0
Step Brothers ,6.9,2008.0
The Mask of Zorro ,6.7,1998.0
Due Date ,6.6,2010.0
Unbroken ,7.2,2014.0
Space Cowboys ,6.4,2000.0
Cliffhanger ,6.4,1993.0
Broken Arrow ,6.0,1996.0
The Kid ,6.1,2000.0
World Trade Center ,6.0,2006.0
Mona Lisa Smile ,6.4,2003.0
The Dictator ,6.4,2012.0
Eyes Wide Shut ,7.3,1999.0
Annie ,5.2,2014.0
Focus ,6.6,2015.0
This Means War ,6.3,2012.0
Blade: Trinity ,5.9,2004.0
Red Dawn ,6.4,1984.0
Primary Colors ,6.7,1998.0
Resident Evil: Retribution ,5.4,2012.0
Death Race ,6.4,2008.0
The Long Kiss Goodnight ,6.7,1996.0
Proof of Life ,6.2,2000.0
Zathura: A Space Adventure ,6.1,2005.0
Fight Club ,8.8,1999.0
We Are Marshall ,7.1,2006.0
The Missing             ,8.1,
Hudson Hawk ,5.7,1991.0
Lucky Numbers ,5.0,2000.0
"I, Frankenstein ",5.1,2014.0
Oliver Twist ,6.9,2005.0
Elektra ,4.8,2005.0
Sin City: A Dame to Kill For ,6.5,2014.0
Random Hearts ,5.1,1999.0
Everest ,7.1,2015.0
Perfume: The Story of a Murderer ,7.5,2006.0
Austin Powers in Goldmember ,6.2,2002.0
Astro Boy ,6.3,2009.0
Jurassic Park ,8.1,1993.0
Wyatt Earp ,6.6,1994.0
Clear and Present Danger ,6.9,1994.0
Dragon Blade ,6.1,2015.0
Littleman ,4.3,2006.0
U-571 ,6.6,2000.0
The American President ,6.8,1995.0
The Love Guru ,3.8,2008.0
3000 Miles to Graceland ,5.9,2001.0
The Hateful Eight ,7.9,2015.0
Blades of Glory ,6.3,2007.0
Hop ,5.5,2011.0
300 ,7.7,2006.0
Meet the Fockers ,6.3,2004.0
Marley & Me ,7.1,2008.0
The Green Mile ,8.5,1999.0
Wild Hogs ,5.9,2007.0
Chicken Little ,5.8,2005.0
Gone Girl ,8.1,2014.0
The Bourne Identity ,7.9,2002.0
GoldenEye ,7.2,1995.0
The General's Daughter ,6.3,1999.0
The Truman Show ,8.1,1998.0
The Prince of Egypt ,7.0,1998.0
Daddy Day Care ,5.5,2003.0
2 Guns ,6.7,2013.0
Cats & Dogs ,5.2,2001.0
The Italian Job ,7.0,2003.0
Two Weeks Notice ,6.1,2002.0
Antz ,6.6,1998.0
Couples Retreat ,5.5,2009.0
