movie_title,duration
Constantine             ,43.0
Hotel for Dogs ,100.0
Vertical Limit ,124.0
Charlie Wilson's War ,102.0
Shark Tale ,90.0
Dreamgirls ,130.0
Life             ,45.0
Be Cool ,118.0
Munich ,163.0
Tears of the Sun ,142.0
Killers ,100.0
The Man from U.N.C.L.E. ,116.0
Spanglish ,131.0
Monster House ,91.0
Bandits ,123.0
First Knight ,134.0
Anna and the King ,148.0
Immortals ,110.0
Hostage ,113.0
Titan A.E. ,94.0
Hollywood Homicide ,116.0
Soldier ,99.0
Carriers ,84.0
Monkeybone ,93.0
Flight of the Phoenix ,113.0
Unbreakable ,106.0
Minions ,91.0
Sucker Punch ,128.0
Snake Eyes ,98.0
Sphere ,134.0
The Angry Birds Movie ,97.0
Fool's Gold ,112.0
Funny People ,153.0
The Kingdom ,110.0
Talladega Nights: The Ballad of Ricky Bobby ,122.0
Dr. Dolittle 2 ,87.0
Braveheart ,178.0
Jarhead ,125.0
The Simpsons Movie ,87.0
The Majestic ,152.0
Driven ,116.0
Two Brothers ,109.0
The Village ,108.0
Doctor Dolittle ,85.0
Signs ,106.0
Shrek 2 ,93.0
Cars ,117.0
Runaway Bride ,116.0
xXx ,132.0
The SpongeBob Movie: Sponge Out of Water ,92.0
Ransom ,139.0
Inglourious Basterds ,153.0
Hook ,142.0
Hercules ,101.0
Die Hard 2 ,124.0
S.W.A.T. ,117.0
Sleepy Hollow             ,45.0
Vanilla Sky ,141.0
Lady in the Water ,110.0
AVP: Alien vs. Predator ,109.0
Alvin and the Chipmunks: The Squeakquel ,88.0
We Were Soldiers ,124.0
Olympus Has Fallen ,119.0
Star Trek: Insurrection ,103.0
Battle Los Angeles ,116.0
Big Fish ,125.0
Wolf ,125.0
War Horse ,146.0
The Monuments Men ,118.0
The Abyss ,171.0
Wall Street: Money Never Sleeps ,136.0
Dracula Untold ,92.0
The Siege ,116.0
Stardust ,127.0
Seven Years in Tibet ,136.0
The Dilemma ,111.0
Bad Company ,116.0
Doom ,113.0
I Spy ,97.0
Underworld: Awakening ,88.0
Rock of Ages ,136.0
Hart's War ,125.0
Killer Elite ,116.0
Rollerball ,98.0
Ballistic: Ecks vs. Sever ,91.0
Hard Rain ,97.0
Osmosis Jones ,95.0
Legends of Oz: Dorothy's Return ,88.0
Blackhat ,133.0
Sky Captain and the World of Tomorrow ,106.0
Basic Instinct 2 ,116.0
Escape Plan ,115.0
The Legend of Hercules ,99.0
The Sum of All Fears ,124.0
The Twilight Saga: Eclipse ,124.0
The Score ,124.0
Despicable Me ,87.0
Money Train ,105.0
Ted 2 ,125.0
Agora ,141.0
Mystery Men ,121.0
Hall Pass ,111.0
The Insider ,157.0
The Finest Hours ,117.0
Body of Lies ,128.0
Dinner for Schmucks ,114.0
Abraham Lincoln: Vampire Hunter ,105.0
Entrapment ,113.0
Last Man Standing             ,30.0
The X Files ,121.0
The Last Legion ,102.0
Saving Private Ryan ,169.0
Need for Speed ,132.0
What Women Want ,127.0
Ice Age ,103.0
Dreamcatcher ,136.0
Lincoln ,150.0
The Matrix ,136.0
Apollo 13 ,140.0
Total Recall ,113.0
The Santa Clause 2 ,104.0
Les Misérables ,158.0
You've Got Mail ,119.0
Step Brothers ,106.0
The Mask of Zorro ,136.0
Due Date ,95.0
Unbroken ,137.0
Space Cowboys ,130.0
Cliffhanger ,124.0
Broken Arrow ,108.0
The Kid ,104.0
World Trade Center ,129.0
Mona Lisa Smile ,117.0
The Dictator ,99.0
Eyes Wide Shut ,159.0
Annie ,118.0
Focus ,105.0
This Means War ,103.0
Blade: Trinity ,122.0
Red Dawn ,114.0
Primary Colors ,143.0
Resident Evil: Retribution ,96.0
Death Race ,111.0
The Long Kiss Goodnight ,121.0
Proof of Life ,135.0
Zathura: A Space Adventure ,101.0
Fight Club ,151.0
We Are Marshall ,131.0
The Missing             ,60.0
Hudson Hawk ,100.0
Lucky Numbers ,105.0
"I, Frankenstein ",92.0
Oliver Twist ,130.0
Elektra ,100.0
Sin City: A Dame to Kill For ,102.0
Random Hearts ,133.0
Everest ,121.0
Perfume: The Story of a Murderer ,147.0
Austin Powers in Goldmember ,94.0
Astro Boy ,94.0
Jurassic Park ,127.0
Wyatt Earp ,212.0
Clear and Present Danger ,141.0
Dragon Blade ,103.0
Littleman ,98.0
U-571 ,116.0
The American President ,114.0
The Love Guru ,87.0
3000 Miles to Graceland ,125.0
The Hateful Eight ,187.0
Blades of Glory ,93.0
Hop ,95.0
300 ,117.0
Meet the Fockers ,106.0
Marley & Me ,115.0
The Green Mile ,189.0
Wild Hogs ,100.0
Chicken Little ,81.0
Gone Girl ,149.0
The Bourne Identity ,119.0
GoldenEye ,130.0
The General's Daughter ,116.0
The Truman Show ,103.0
The Prince of Egypt ,99.0
Daddy Day Care ,92.0
2 Guns ,109.0
Cats & Dogs ,87.0
The Italian Job ,111.0
Two Weeks Notice ,101.0
Antz ,83.0
Couples Retreat ,113.0
Days of Thunder ,107.0
Cheaper by the Dozen 2 ,94.0
The Scorch Trials ,132.0
Eat Pray Love ,140.0
The Family Man ,125.0
RED ,111.0
Any Given Sunday ,156.0
The Horse Whisperer ,170.0
Collateral ,120.0
The Scorpion King ,100.0
Ladder 49 ,115.0
Jack Reacher ,130.0
Deep Blue Sea ,105.0
This Is It ,111.0
Contagion ,106.0
Kangaroo Jack ,89.0
Coraline ,100.0
The Happening ,91.0
Man on Fire ,146.0
The Shaggy Dog ,98.0
Starsky & Hutch ,101.0
Jingle All the Way ,94.0
Hellboy ,132.0
A Civil Action ,115.0
ParaNorman ,92.0
The Jackal ,124.0
Paycheck ,119.0
Up Close & Personal ,124.0
The Tale of Despereaux ,93.0
Rules of Engagement             ,22.0
The Tuxedo ,98.0
Under Siege 2: Dark Territory ,92.0
Jack Ryan: Shadow Recruit ,105.0
Joy ,124.0
London Has Fallen ,99.0
Alien: Resurrection ,116.0
Shooter ,124.0
The Boxtrolls ,96.0
Practical Magic ,104.0
The Lego Movie ,100.0
Miss Congeniality 2: Armed and Fabulous ,115.0
Reign of Fire ,101.0
Gangster Squad ,113.0
Year One ,100.0
Invictus ,134.0
State of Play ,127.0
Duplicity ,125.0
My Favorite Martian ,94.0
The Sentinel ,107.0
Planet 51 ,91.0
Star Trek: Nemesis ,116.0
Intolerable Cruelty ,100.0
Trouble with the Curve ,111.0
Edge of Darkness ,117.0
The Relic ,110.0
Analyze That ,96.0
Righteous Kill ,101.0
Mercury Rising ,111.0
The Soloist ,117.0
The Legend of Bagger Vance ,126.0
Almost Famous ,152.0
Garfield 2 ,86.0
xXx: State of the Union ,101.0
Priest ,87.0
Sinbad: Legend of the Seven Seas ,85.0
Event Horizon ,130.0
The Avengers ,173.0
Dragonfly ,104.0
The Black Dahlia ,121.0
Flyboys ,140.0
The Last Castle ,131.0
Supernova ,91.0
Winter's Tale ,118.0
The Mortal Instruments: City of Bones ,130.0
Meet Dave ,90.0
Dark Water ,103.0
Edtv ,122.0
Inkheart ,106.0
The Spirit ,103.0
Mortdecai ,107.0
In the Name of the King: A Dungeon Siege Tale ,156.0
Beyond Borders ,127.0
Xi you ji zhi: Sun Wukong san da Baigu Jing ,119.0
The Great Raid ,132.0
Deadpool ,108.0
Holy Man ,114.0
American Sniper ,133.0
Goosebumps ,103.0
"Sabrina, the Teenage Witch             ",22.0
Just Like Heaven ,95.0
The Flintstones in Viva Rock Vegas ,90.0
Rambo III ,87.0
Leatherheads ,114.0
The Ridiculous 6 ,119.0
Did You Hear About the Morgans? ,103.0
The Internship ,125.0
Resident Evil: Afterlife ,97.0
Red Tails ,125.0
Sex and the City             ,30.0
The Devil's Advocate ,136.0
That's My Boy ,116.0
DragonHeart ,103.0
After the Sunset ,97.0
Ghost Rider: Spirit of Vengeance ,96.0
Captain Corelli's Mandolin ,131.0
Anger Management             ,22.0
The Pacifier ,95.0
Walking Tall ,86.0
Forrest Gump ,142.0
Alvin and the Chipmunks ,92.0
Meet the Parents ,108.0
Pocahontas ,84.0
Superman ,188.0
The Nutty Professor ,95.0
Hitch ,118.0
George of the Jungle ,92.0
American Wedding ,74.0
Captain Phillips ,134.0
Date Night ,101.0
Casper ,100.0
The Equalizer ,132.0
Maid in Manhattan ,105.0
Crimson Tide ,123.0
The Pursuit of Happyness ,117.0
Flightplan ,98.0
Disclosure ,128.0
City of Angels ,114.0
Kill Bill: Vol. 1 ,111.0
Bowfinger ,85.0
Stargate SG-1             ,44.0
Kill Bill: Vol. 2 ,137.0
Tango & Cash ,97.0
Death Becomes Her ,104.0
Shanghai Noon ,110.0
Executive Decision ,133.0
Mr. Popper's Penguins ,94.0
The Forbidden Kingdom ,104.0
Free Birds ,91.0
Alien 3 ,145.0
Evita ,135.0
Ronin ,122.0
The Ghost and the Darkness ,110.0
Paddington ,95.0
The Watch ,102.0
The Hunted ,94.0
Instinct ,126.0
Stuck on You ,118.0
Semi-Pro ,99.0
The Pirates! Band of Misfits ,88.0
Changeling ,141.0
Chain Reaction ,107.0
The Fan ,116.0
The Phantom of the Opera ,143.0
Elizabeth: The Golden Age ,114.0
Æon Flux ,93.0
Gods and Generals ,280.0
Turbulence ,100.0
Imagine That ,107.0
Muppets Most Wanted ,119.0
Thunderbirds ,95.0
Burlesque ,119.0
A Very Long Engagement ,133.0
Lolita ,152.0
Eye See You ,96.0
Blade II ,117.0
Seven Pounds ,123.0
Bullet to the Head ,92.0
The Godfather: Part III ,170.0
Elizabethtown ,123.0
"You, Me and Dupree ",110.0
Superman II ,116.0
Gigli ,121.0
All the King's Men ,128.0
Shaft ,99.0
Anastasia ,94.0
Moulin Rouge! ,127.0
Domestic Disturbance ,89.0
Black Mass ,123.0
Flags of Our Fathers ,135.0
Law Abiding Citizen ,118.0
Grindhouse ,189.0
Beloved ,172.0
Lucky You ,124.0
Catch Me If You Can ,141.0
Zero Dark Thirty ,157.0
The Break-Up ,106.0
Mamma Mia! ,108.0
Valentine's Day ,125.0
The Dukes of Hazzard ,107.0
The Thin Red Line ,215.0
The Change-Up ,118.0
Man on the Moon ,118.0
Casino ,178.0
From Paris with Love ,92.0
Bulletproof Monk ,104.0
"Me, Myself & Irene ",116.0
Barnyard ,90.0
Deck the Halls ,93.0
The Twilight Saga: New Moon ,130.0
Shrek ,90.0
The Adjustment Bureau ,106.0
Robin Hood: Prince of Thieves ,155.0
Jerry Maguire ,139.0
Ted ,112.0
As Good as It Gets ,139.0
Patch Adams ,115.0
Anchorman 2: The Legend Continues ,143.0
Mr. Deeds ,96.0
Super 8 ,112.0
Erin Brockovich ,131.0
How to Lose a Guy in 10 Days ,116.0
22 Jump Street ,112.0
Interview with the Vampire: The Vampire Chronicles ,123.0
Yes Man ,104.0
Central Intelligence ,107.0
Stepmom ,124.0
Daddy's Home ,96.0
Into the Woods ,125.0
Inside Man ,129.0
Payback ,90.0
Congo ,109.0
We Bought a Zoo ,124.0
Knowing ,121.0
Failure to Launch ,95.0
The Ring Two ,128.0
"Crazy, Stupid, Love. ",118.0
Garfield ,80.0
Christmas with the Kranks ,99.0
Moneyball ,133.0
Outbreak ,127.0
Non-Stop ,106.0
Race to Witch Mountain ,98.0
V for Vendetta ,132.0
Shanghai Knights ,114.0
Unforgotten             ,45.0
Curious George ,78.0
Herbie Fully Loaded ,101.0
Don't Say a Word ,113.0
Hansel & Gretel: Witch Hunters ,98.0
Unfaithful ,124.0
I Am Number Four ,109.0
Syriana ,128.0
13 Hours ,144.0
The Book of Life ,95.0
Firewall ,105.0
Absolute Power ,121.0
G.I. Jane ,125.0
The Game ,129.0
Silent Hill ,132.0
The Replacements ,118.0
American Reunion ,113.0
The Negotiator ,140.0
Into the Storm ,89.0
Beverly Hills Cop III ,104.0
Gremlins 2: The New Batch ,106.0
The Judge ,141.0
The Peacemaker ,124.0
Resident Evil: Apocalypse ,98.0
Bridget Jones: The Edge of Reason ,108.0
Out of Time ,114.0
On Deadly Ground ,101.0
The Adventures of Sharkboy and Lavagirl 3-D ,93.0
The Beach ,119.0
Raising Helen ,119.0
Ninja Assassin ,99.0
For Love of the Game ,137.0
A Touch of Frost             ,105.0
Striptease ,117.0
Marmaduke ,87.0
